Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
1,Um Sonho de Liberdade,,,https://www.imdb.com/pt/title/tt0111161/
2,O Poderoso Chefão,,,https://www.imdb.com/pt/title/tt0068646/
3,Batman: O Cavaleiro das Trevas,,,https://www.imdb.com/pt/title/tt0468569/
4,O Poderoso Chefão: Parte II,,,https://www.imdb.com/pt/title/tt0071562/
5,12 Homens e uma Sentença,10 de outubro de 1958 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0050083/
6,O Senhor dos Anéis: O Retorno do Rei,25 de dezembro de 2003 (Brasil),"Nova Zelândia, Estados Unidos da América",https://www.imdb.com/pt/title/tt0167260/
7,A Lista de Schindler,11 de março de 1994 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0108052/
8,O Senhor dos Anéis: A Sociedade do Anel,1 de janeiro de 2002 (Brasil),"Nova Zelândia, Estados Unidos da América",https://www.imdb.com/pt/title/tt0120737/
9,Pulp Fiction: Tempo de Violência,3 de março de 1995 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0110912/
10,Três Homens em Conflito,11 de janeiro de 1968 (Brasil),"Itália, Espanha, Alemanha Ocidental, Estados Unidos da América",https://www.imdb.com/pt/title/tt0060196/
11,O Senhor dos Anéis: As Duas Torres,,,https://www.imdb.com/pt/title/tt0167261/
12,Forrest Gump: O Contador de Histórias,7 de dezembro de 1994 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0109830/
13,Clube da Luta,29 de outubro de 1999 (Brasil),"Estados Unidos da América, Alemanha",https://www.imdb.com/pt/title/tt0137523/
14,A Origem,6 de agosto de 2010 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt1375666/
15,Star Wars: Episódio V - O Império Contra-Ataca,,,https://www.imdb.com/pt/title/tt0080684/
16,Matrix,11 de janeiro de 1968 (Brasil),"Itália, Espanha, Alemanha Ocidental, Estados Unidos da América",https://www.imdb.com/pt/title/tt0133093/
17,Os Bons Companheiros,21 de dezembro de 1990 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0099685/
18,Interestelar,6 de agosto de 2010 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0816692/
19,Um Estranho no Ninho,14 de julho de 1980 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0073486/
20,Seven - Os Sete Crimes Capitais,21 de dezembro de 1990 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0114369/
21,A Felicidade Não se Compra,19 de setembro de 1947 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0038650/
22,O Silêncio dos Inocentes,17 de maio de 1991 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0102926/
23,O Resgate do Soldado Ryan,11 de setembro de 1998 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0120815/
24,Os Sete Samurais,26 de abril de 1954 (Japão),Japão,https://www.imdb.com/pt/title/tt0047478/
25,À Espera de um Milagre,17 de maio de 1991 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0120689/
26,Cidade de Deus,30 de agosto de 2002 (Brasil),Brasil,https://www.imdb.com/pt/title/tt0317248/
27,A Vida é Bela,5 de fevereiro de 1999 (Brasil),Itália,https://www.imdb.com/pt/title/tt0118799/
28,O Exterminador do Futuro 2: O Julgamento Final,30 de agosto de 1991 (Brasil),"Estados Unidos da América, França",https://www.imdb.com/pt/title/tt0103064/
29,De Volta para o Futuro,25 de dezembro de 1985 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0088763/
30,Star Wars: Episódio IV - Uma Nova Esperança,30 de janeiro de 1978 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0076759/
